line : 110 [-4, -8, 17, -23, 3, 7, 60, 120, [1680, 12769], (63378156895304614672428515315303416579*L^4-12855435046769242463937552525281922560*L^3+1023209370545644602514098417550553600*L^2-38099481172252920123947140423680000*L+564801547867333560861428736000000), false]
line : 111 [-9, -7, -13, -13, 8, 12, -48, -48, [-6, 4], (175*L+48)^2*(475*L+24)^2, false]
line : 112 [-7, -13, -13, -4, 12, -48, -48, 3, [-16, 49], (26859*L+2048)^2, false]
line : 113 [-13, -13, -4, -9, -48, -48, 3, 8, [-24, 1], (11552957*L^2-2799456*L+801792)^2, false]
line : 114 [-13, -4, -9, -7, -48, 3, 8, 12, [96, 361], (49*L-384)*(35741*L-4608)*(33252442879*L^2-2621123712*L-188153856), false]
line : 115 [-4, -9, -7, -13, 3, 8, 12, -48, [96, 361], (49*L-384)*(35741*L-4608)*(33252442879*L^2-2621123712*L-188153856), false]
line : 116 [-9, -13, -22, 47, 8, 12, -23, 552, [-6, 4], (5006763563575212640*L^4-2394312958669654752*L^3+425161576584016137*L^2-941661450997920*L+49118694969600), false]
line : 117 [-13, -22, 47, -4, 12, -23, 552, 3, [-16, 49], (119641357101859587941401*L^4-3417222505399953053440*L^3-281043496924196292608*L^2-7349853101045317632*L+1027011163261501440), false]
line : 118 [-22, 47, -4, -9, -23, 552, 3, 8, [-24, 121], (7471653404307798076853713*L^4-112379932255427642817312*L^3-5843813007321169475328*L^2+191621128751391670272*L+4181105339242905600), false]
line : 119 [47, -4, -9, -13, 552, 3, 8, 12, [46, 576], (501346181889691988562761788836*L^4-30254260860606811381599133596*L^3+688926398849531079482499721*L^2-7143442234629355400598176*L+29860810479538510295296), false]
line : 120 [-4, -9, -13, -22, 3, 8, 12, -23, [-1104, 1], (23059901127646421820036957568825*L^4-147638159557067716781670556995840*L^3+237343815058394480097716679849984*L^2-1579425529090393674553666830336*L+9629458685253294628726112256), false]
line : 121 [-9, 14, 23, -25, 8, 13, -24, 156, [-6, 4], (422298310602185213781200*L^4-36825128670503240269752*L^3+23305206217996273969269*L^2+336534913268362797408*L+13883458584299500800), false]
line : 122 [14, 23, -25, -4, 13, -24, 156, 3, [-16, 49], (12362055086298307648920725*L^4-651197638740244418702144*L^3+59014587251417479635968*L^2-8485065625323857117184*L+292257221989745295360), false]
line : 123 [23, -25, -4, -9, -24, 156, 3, 8, [-26, 144], (9821503613369596741308694577988*L^4+1295868594967831000750227348300*L^3+54893808565100155019507976409*L^2+228207926242470964593887200*L+306121150229233310902528), false]
line : 124 [-25, -4, -9, 14, 156, 3, 8, 13, [48, 625], (7242801746420883982940521100640625*L^4-452602103630841043719352703880000*L^3+10878944768111069428902108558336*L^2-93073406842156596664492228608*L+256880351139375025074733056), false]
line : 125 [-4, -9, 14, 23, 3, 8, 13, -24, [-312, 1], (7393794379863005782265687143*L^4-49152583670426110394274745536*L^3+204176805497391969653792689152*L^2+11382040937587638378588143616*L+158141932884459287161602048), false]
